rms_id,category,title,verdict,flags,imgW,imgH,frameCoverage,solvedScale,unclampedScale,url
3812,pillows-throws,"RED VELVET LUMBAR",BROKEN,MEASURE_FAIL|LOW_RES,235,216,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Red%20Slightly%20Darker.png
4098,tables,"RELIC LIMESTONE SIDE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,225,268,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/side-tables/RELIC%20Limestone%20Side%20Table%200.png
3711,seating,"RESHMA BOTANICAL SCULPTURAL SOFA",BROKEN,MEASURE_FAIL|LOW_RES,384,174,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/sofa/RESHMA%20Botanical%20Sofa%200.png
342,tables,"RIPLEY WOOD & METAL SIDE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,165,249,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/side-tables/RIPLEY%20Side%20Table%200.png
3121,serveware,"RITIKA 33\" BRASS TRAY",BROKEN,MEASURE_FAIL|LOW_RES,260,215,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/serveware/RITIKA%2033%20Brass.png
3029,tables,"RIVER 42\" COFFEE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,259,111,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/coffeetables/RIVER%2042%20Coffee%20Table.png
3028,tables,"ROLLINS STONE SIDE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,185,203,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/side-tables/ROLLINS%20Side%20Table.png
1542,styling,"RODGERS LARIAT ROPE",BROKEN,MEASURE_FAIL|LOW_RES,361,269,0.993,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/RODGERS%20Lariat.png
4037,lighting,"RODRICK BRASS CABARET LAMP",BROKEN,MEASURE_FAIL|LOW_RES,123,257,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/lighting/lamp/RODRICK%20Cab%20Lamp.png
3147,lighting,"ROMINA BRASS FLOOR LAMP",BROKEN,MEASURE_FAIL|LOW_RES,123,291,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/lighting/lamp/ROMINA%20Floor%20Lamp.png
634,styling,"ROLSTON VINTAGE WOOD CRATE",BROKEN,MEASURE_FAIL|LOW_RES,283,120,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/ROLSTON%20Crate%200.PNG
2459,tables,"ROMANA TAPERED CONCRETE SIDE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,214,247,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/side-tables/ROMANA%20Side%20Table%200.png
1710,seating,"ROWNTREE CHOCOLATE LEATHER LOVESEAT",BROKEN,MEASURE_FAIL|LOW_RES,330,207,0.981,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/loveseat/ROWNTREE%20Loveseat%200.png
4014,seating,"ROSALIND CREAM VELVET ROUND BANQUETTE",BROKEN,MEASURE_FAIL|LOW_RES,396,218,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/specialty/ROSALIND%20Sectional.png
709,storage,"ROSA ACACIA WOOD SHELF",BROKEN,MEASURE_FAIL|LOW_RES,146,291,0.993,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/storage/ROSA%20Shelf.png
2968,seating,"ROSIE ANTIQUE LINEN CHAIR",BROKEN,MEASURE_FAIL|LOW_RES,210,276,0.995,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/chair-lounge/ROSIE%20Chair%200.png
3177,candlelight,"RUMEN 11\" RED LED CAMPING LANTERN",BROKEN,MEASURE_FAIL|LOW_RES,128,241,0.996,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/candlelight/RUMEN%20led%20lantern.png
