rms_id,title,category,status_class,current_hero_url,current_hero_path,current_in_storage,current_dupe_count,proposed_hero_url,proposed_source,proposed_confidence
2243,Brown Hide Lumbar Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Brown Grey fur.png,PILLOWS/Brown Grey fur.png,false,12,,none,none
2916,Brown Light Plaid Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Brown Grey fur.png,PILLOWS/Brown Grey fur.png,false,12,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/d55a2afc-43c2-4848-8dda-b254cab2aa27/BROWN+Light+Plaid.png,squarespace_exact_title,high
2915,Brown Plaid Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Brown Grey fur.png,PILLOWS/Brown Grey fur.png,false,12,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/7f088d4b-d6a6-4c51-b076-d77a77828160/Brown+Plaid.png,squarespace_exact_title,high
2245,Brown Strip Oversize Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Brown Grey fur.png,PILLOWS/Brown Grey fur.png,false,12,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/inventory/PILLOWS/Brown%20Rust%20Oversize.png,storage_partial,medium
2240,Brown Velvet Quilted Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Brown Grey fur.png,PILLOWS/Brown Grey fur.png,false,12,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/5d2af416-acc6-40ea-89a1-d142a1f82b81/Brown+Velvet+Quilted.png,squarespace_exact_title,high
2254,B/W Yarn Oversize Pillow,pillows-throws,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/3b3f33983d_BW_Yarn_Oversize.png,_squarespace/3b3f33983d_BW_Yarn_Oversize.png,true,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/3b3f33983d_BW_Yarn_Oversize.png,keep_current,n/a
2586,Champagne Crushed Velvet Pillow,pillows-throws,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/4242f3a3d9_Champagne_Crushed_Velvet.png,_squarespace/4242f3a3d9_Champagne_Crushed_Velvet.png,true,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/4242f3a3d9_Champagne_Crushed_Velvet.png,keep_current,n/a
2389,Champagne Snake Lumbar Pillow,pillows-throws,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/108444fce8_Champagne_Snake_Leather.png,_squarespace/108444fce8_Champagne_Snake_Leather.png,true,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/108444fce8_Champagne_Snake_Leather.png,keep_current,n/a
2255,Champagne Velvet Quilted Pillow,pillows-throws,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/68f978006a_Champagne_Velvet_Quilted.png,_squarespace/68f978006a_Champagne_Velvet_Quilted.png,true,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/_squarespace/68f978006a_Champagne_Velvet_Quilted.png,keep_current,n/a
2593,Gold Velvet Dotted Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Gold Fringe Lumbar.png,PILLOWS/Gold Fringe Lumbar.png,false,4,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/db236124-dac6-48a8-ae42-3426a2450d6a/Gold+Velvet+Dotted.png,squarespace_exact_title,high
