scraped_product_id,product_url,category_slug,product_slug,image_url,position,is_hero,inferred_filename,alt_text,source_page_url,image_source
be4feb57-9918-4a7a-ae40-ff9eaa2331e3,https://www.eclectichive.com/textiles/blue-denim-leather-buckle-pillow,textiles,blue-denim-leather-buckle-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/598f588f-73fe-4c1a-a17a-dc14b44e0f91/Blue+Denim+Buckle.png?format=2500w,0,true,Blue+Denim+Buckle.png,Blue Denim Buckle.png,https://www.eclectichive.com/textiles/blue-denim-leather-buckle-pillow,markdown
2f725f33-eaa9-433a-9066-c854415166cc,https://www.eclectichive.com/textiles/blue-light-stripe-pillow,textiles,blue-light-stripe-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/f5adc79d-b55b-4c90-88b0-1583cdcb7994/Blue+Stripe+Pillow.png?format=2500w,0,true,Blue+Stripe+Pillow.png,Blue Stripe Pillow.png,https://www.eclectichive.com/textiles/blue-light-stripe-pillow,markdown
acbe89a8-45a7-4b5a-ba86-aec56c728fc0,https://www.eclectichive.com/textiles/blue-light-velvet-burnout-pillow,textiles,blue-light-velvet-burnout-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/608102fc-aeaa-4b25-af55-0f2af4607853/Blue+Light+Velvet+Burnout+Pillow.png?format=2500w,0,true,Blue+Light+Velvet+Burnout+Pillow.png,Blue Light Velvet Burnout Pillow.png,https://www.eclectichive.com/textiles/blue-light-velvet-burnout-pillow,markdown
f0c04e92-19f3-49ee-995a-18802db8a62c,https://www.eclectichive.com/textiles/blue-light-velvet-lumbar,textiles,blue-light-velvet-lumbar,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/31daa6c0-4b3c-4b0b-9225-d558a4441224/Blue+Light+Lumbar.png?format=2500w,0,true,Blue+Light+Lumbar.png,Blue Light Lumbar.png,https://www.eclectichive.com/textiles/blue-light-velvet-lumbar,markdown
fb744ba9-45eb-43e1-a3c8-500a1e25980c,https://www.eclectichive.com/textiles/blue-light-velvet-pillow,textiles,blue-light-velvet-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/b6fc665a-cee0-479c-85eb-8d0b215a9a46/Blue+Light+Pillow.png?format=2500w,0,true,Blue+Light+Pillow.png,Blue Light Pillow.png,https://www.eclectichive.com/textiles/blue-light-velvet-pillow,markdown
bdbbb8de-a675-420e-ac72-ca600999f0e4,https://www.eclectichive.com/textiles/blue-native-pillow,textiles,blue-native-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/2e78d60e-60fe-4f70-a8b1-ee63cebdda63/Blue+Navajo.png?format=2500w,0,true,Blue+Navajo.png,Blue Navajo.png,https://www.eclectichive.com/textiles/blue-native-pillow,markdown
3f4728c7-7d88-4e04-96dc-135cceb77a38,https://www.eclectichive.com/textiles/blue-native-x-pillow,textiles,blue-native-x-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/a9810f50-612f-423d-962a-4fa6824a5856/Blue+Native+X.png?format=2500w,0,true,Blue+Native+X.png,Blue Native X.png,https://www.eclectichive.com/textiles/blue-native-x-pillow,markdown
89e77ca9-656a-4aa9-b00b-309add25a7d6,https://www.eclectichive.com/textiles/blue-ombre-fringe-pillow,textiles,blue-ombre-fringe-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/6c47a83e-b722-4f75-9eda-a97bdbc61e2a/Blue+Ombre.png?format=2500w,0,true,Blue+Ombre.png,Blue Ombre.png,https://www.eclectichive.com/textiles/blue-ombre-fringe-pillow,markdown
a7c5c03c-34ff-46cb-bc10-e09387f047f2,https://www.eclectichive.com/textiles/blue-ombre-lumbar,textiles,blue-ombre-lumbar,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/7c79d3de-48fd-48d9-b9c2-573e7887f58a/Blue+Ombre+Lumbar.png?format=2500w,0,true,Blue+Ombre+Lumbar.png,Blue Ombre Lumbar.png,https://www.eclectichive.com/textiles/blue-ombre-lumbar,markdown
567d0be1-cbc8-434a-a182-6510f84a11e7,https://www.eclectichive.com/textiles/blue-red-native-pillow,textiles,blue-red-native-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/2af7db41-f196-4106-9b87-f4eb269024bf/Red+Yellow+Blue+Navajo.png?format=2500w,0,true,Red+Yellow+Blue+Navajo.png,Red Yellow Blue Navajo.png,https://www.eclectichive.com/textiles/blue-red-native-pillow,markdown
